Sample ID,Collected by,Species,Date,Month,Site,City,Latitude,Longitude,% Certain,Freshness,Weather,Condition,Notes,Anal jelly? (for otter),Lab Name,Lab Notes,,,,,,,,,,,,,,,,,,,
UCP163,SK,River otter,4/24/2022,4,DNB,Seattle,47.66584,-122.42427,100,,,,,,,,,,,,,,,,,,,,,,,,,,
UCP164,SK,River otter,4/24/2022,4,DNB,Seattle,47.66584,-122.42427,100,,,,,,,,,,,,,,,,,,,,,,,,,,
UCP165,SK,River otter,4/24/2022,4,DNB,Seattle,47.66584,-122.42427,100,,,,,,,,,,,,,,,,,,,,,,,,,,
UCP166,SK,River otter,4/24/2022,4,DNB,Seattle,47.66584,-122.42427,100,,,,,,,,,,,,,,,,,,,,,,,,,,
UCP167,SK,River otter,4/24/2022,4,DNB,Seattle,47.66584,-122.42427,100,,,,,,,,,,,,,,,,,,,,,,,,,,
UCP168,SK,River otter,4/24/2022,4,DNB,Seattle,47.66584,-122.42427,100,,,,,,,,,,,,,,,,,,,,,,,,,,
UCP169,SK,River otter,4/24/2022,4,DNB,Seattle,47.66584,-122.42427,100,,,,,,,,,,,,,,,,,,,,,,,,,,
UCP170,SK,River otter,4/24/2022,4,DNB,Seattle,47.66584,-122.42427,100,,,,,,,,,,,,,,,,,,,,,,,,,,
UCP171,SK,River otter,4/24/2022,4,DNB,Seattle,47.66584,-122.42427,100,,,,,,,,,,,,,,,,,,,,,,,,,,
UCP172,YH,River otter,4/25/22,4,WNP,Hunts Point,47.64022,-122.22443,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP173,YH,River otter,4/25/22,4,WNP,Hunts Point,47.64022,-122.22443,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP174,YH,River otter,4/25/22,4,WNP,Hunts Point,47.64022,-122.22443,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP175,YH,River otter,4/25/22,4,WNP,Hunts Point,47.64022,-122.22443,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
