station,season,species,photodate,phototime
DRP2,Summer20,Procyon lotor,2020-07-05,05:50:13
DRP2,Summer20,Procyon lotor,2020-07-05,06:39:54
DRP2,Summer20,Procyon lotor,2020-07-05,06:41:53
DRP2,Summer20,Procyon lotor,2020-07-06,12:09:23
DRP2,Summer20,Procyon lotor,2020-07-03,00:50:33
DRP2,Summer20,Procyon lotor,2020-07-06,21:47:32
DRP2,Summer20,Procyon lotor,2020-07-08,07:04:27
DRP2,Summer20,Procyon lotor,2020-07-03,06:00:46
DRP2,Summer20,Procyon lotor,2020-07-09,05:17:31
DRP2,Summer20,Procyon lotor,2020-07-10,21:25:39
DRP2,Summer20,Procyon lotor,2020-07-10,21:29:20
